reduction, 0 ,100000000 ,0.066341
reduction, 0 ,100000000 ,0.047186
reduction, 0 ,100000000 ,0.045788
reduction, 0 ,100000000 ,0.045533
reduction, 0 ,100000000 ,0.046634
reduction, 0 ,100000000 ,0.045547
reduction, 0 ,100000000 ,0.046093
reduction, 0 ,100000000 ,0.045709
reduction, 0 ,100000000 ,0.046499
reduction, 0 ,100000000 ,0.047474
reduction, 0 ,100000000 ,0.069299
reduction, 0 ,100000000 ,0.046235
reduction, 0 ,100000000 ,0.045754
reduction, 0 ,100000000 ,0.045533
reduction, 0 ,100000000 ,0.045674
reduction, 0 ,100000000 ,0.046337
reduction, 0 ,100000000 ,0.045545
reduction, 0 ,100000000 ,0.045722
reduction, 0 ,100000000 ,0.045524
reduction, 0 ,100000000 ,0.048540
